"id","code","user_id","group_id","welfaretype_id"
"156","t1p1","NULL","27","9"
"157","t1p2","NULL","27","13"
"158","t1p3","NULL","27","11"
"159","t1p4","NULL","27","12"
"160","t1p5","NULL","27","10"
"161","t1p6","NULL","27","8"
"162","t1p7","NULL","27","9"
"163","t1p8","NULL","27","13"
"164","t2p1","NULL","28","9"
"165","t2p2","NULL","28","13"
"166","t2p3","NULL","28","11"
"167","t2p4","NULL","28","12"
"168","t2p5","NULL","28","10"
"169","t2p6","NULL","28","8"
"170","t2p7","NULL","28","9"
"171","t2p8","NULL","28","13"
"172","t3p1","NULL","29","9"
"173","t3p2","NULL","29","13"
"174","t3p3","NULL","29","11"
"175","t3p4","NULL","29","12"
"176","t3p5","NULL","29","10"
"177","t3p6","NULL","29","8"
"178","t3p7","NULL","29","9"
"179","t3p8","NULL","29","13"
"180","t4p1","NULL","30","18"
"181","t4p2","NULL","30","16"
"182","t4p3","NULL","30","17"
"183","t4p4","NULL","30","15"
"184","t4p5","NULL","30","14"
"185","t4p6","NULL","30","19"
"186","t4p7","NULL","30","18"
"187","t4p8","NULL","30","16"
"188","t5p1","NULL","31","18"
"189","t5p2","NULL","31","16"
"190","t5p3","NULL","31","17"
"191","t5p4","NULL","31","15"
"192","t5p5","NULL","31","14"
"193","t5p6","NULL","31","19"
"194","t5p7","NULL","31","18"
"195","t5p8","NULL","31","16"
"196","t6p1","NULL","32","18"
"197","t6p2","NULL","32","16"
"198","t6p3","NULL","32","17"
"199","t6p4","NULL","32","15"
"200","t6p5","NULL","32","14"
"201","t6p6","NULL","32","19"
"202","t6p7","NULL","32","18"
"203","t6p8","NULL","32","16"
"204","t1p1","NULL","33","8"
"205","t1p2","8","33","9"
"206","t1p3","9","33","10"
"207","t1p4","10","33","12"
"208","t1p5","11","33","13"
"209","t1p6","13","33","11"
"210","t1p7","7","33","8"
"211","t1p8","NULL","33","9"
"212","t2p1","NULL","34","8"
"213","t2p2","NULL","34","9"
"214","t2p3","NULL","34","10"
"215","t2p4","NULL","34","12"
"216","t2p5","NULL","34","13"
"217","t2p6","NULL","34","11"
"218","t2p7","NULL","34","8"
"219","t2p8","NULL","34","9"
"220","t3p1","NULL","35","8"
"221","t3p2","NULL","35","9"
"222","t3p3","NULL","35","10"
"223","t3p4","NULL","35","12"
"224","t3p5","NULL","35","13"
"225","t3p6","NULL","35","11"
"226","t3p7","NULL","35","8"
"227","t3p8","NULL","35","9"
"228","t4p1","NULL","36","18"
"229","t4p2","NULL","36","14"
"230","t4p3","NULL","36","16"
"231","t4p4","NULL","36","17"
"232","t4p5","NULL","36","15"
"233","t4p6","NULL","36","19"
"234","t4p7","NULL","36","18"
"235","t4p8","NULL","36","14"
"236","t5p1","NULL","37","18"
"237","t5p2","NULL","37","14"
"238","t5p3","NULL","37","16"
"239","t5p4","NULL","37","17"
"240","t5p5","NULL","37","15"
"241","t5p6","NULL","37","19"
"242","t5p7","NULL","37","18"
"243","t5p8","NULL","37","14"
"244","t6p1","NULL","38","18"
"245","t6p2","NULL","38","14"
"246","t6p3","NULL","38","16"
"247","t6p4","NULL","38","17"
"248","t6p5","NULL","38","15"
"249","t6p6","NULL","38","19"
"250","t6p7","NULL","38","18"
"251","t6p8","NULL","38","14"
"252","t1p1","NULL","39","15"
"253","t1p2","NULL","39","16"
"254","t1p3","NULL","39","17"
"255","t1p4","NULL","39","14"
"256","t1p5","NULL","39","19"
"257","t1p6","NULL","39","18"
"258","t1p7","NULL","39","16"
"259","t1p8","NULL","39","17"
"260","t2p1","NULL","40","15"
"261","t2p2","NULL","40","16"
"262","t2p3","NULL","40","17"
"263","t2p4","NULL","40","14"
"264","t2p5","NULL","40","19"
"265","t2p6","NULL","40","18"
"266","t2p7","NULL","40","15"
"267","t2p8","NULL","40","16"
"268","t3p1","NULL","41","15"
"269","t3p2","NULL","41","16"
"270","t3p3","NULL","41","17"
"271","t3p4","NULL","41","14"
"272","t3p5","NULL","41","19"
"273","t3p6","NULL","41","18"
"274","t3p7","NULL","41","15"
"275","t3p8","NULL","41","16"
"276","t4p1","NULL","42","15"
"277","t4p2","NULL","42","16"
"278","t4p3","NULL","42","17"
"279","t4p4","NULL","42","14"
"280","t4p5","NULL","42","19"
"281","t4p6","NULL","42","18"
"282","t4p7","NULL","42","15"
"283","t4p8","NULL","42","16"
"284","t5p1","NULL","43","15"
"285","t5p2","NULL","43","16"
"286","t5p3","NULL","43","17"
"287","t5p4","NULL","43","14"
"288","t5p5","NULL","43","19"
"289","t5p6","NULL","43","18"
"290","t5p7","NULL","43","15"
"291","t5p8","NULL","43","16"
"292","t6p1","NULL","44","15"
"293","t6p2","NULL","44","16"
"294","t6p3","NULL","44","17"
"295","t6p4","NULL","44","14"
"296","t6p5","NULL","44","19"
"297","t6p6","NULL","44","18"
"298","t6p7","NULL","44","15"
"299","t6p8","NULL","44","16"
"300","t1p1","NULL","45","15"
"301","t1p2","NULL","45","18"
"302","t1p3","NULL","45","19"
"303","t1p4","NULL","45","16"
"304","t1p5","NULL","45","17"
"305","t1p6","NULL","45","14"
"306","t1p7","NULL","45","15"
"307","t1p8","NULL","45","18"
"308","t2p1","NULL","46","15"
"309","t2p2","NULL","46","18"
"310","t2p3","NULL","46","19"
"311","t2p4","NULL","46","16"
"312","t2p5","NULL","46","17"
"313","t2p6","NULL","46","14"
"314","t2p7","NULL","46","15"
"315","t2p8","NULL","46","18"
"316","t3p1","NULL","47","15"
"317","t3p2","NULL","47","18"
"318","t3p3","NULL","47","19"
"319","t3p4","NULL","47","16"
"320","t3p5","NULL","47","17"
"321","t3p6","NULL","47","14"
"322","t3p7","NULL","47","15"
"323","t3p8","NULL","47","18"
"340","t1p1","NULL","50","8"
"341","t1p2","NULL","50","13"
"342","t1p3","NULL","50","11"
"343","t1p4","NULL","50","10"
"344","t1p5","NULL","50","9"
"345","t1p6","NULL","50","12"
"346","t1p7","NULL","50","8"
"347","t1p8","NULL","50","13"
"348","t2p1","NULL","51","8"
"349","t2p2","NULL","51","13"
"350","t2p3","NULL","51","11"
"351","t2p4","NULL","51","10"
"352","t2p5","NULL","51","9"
"353","t2p6","NULL","51","12"
"354","t2p7","NULL","51","8"
"355","t2p8","NULL","51","13"
"356","t3p1","NULL","52","8"
"357","t3p2","NULL","52","13"
"358","t3p3","NULL","52","11"
"359","t3p4","NULL","52","10"
"360","t3p5","NULL","52","9"
"361","t3p6","NULL","52","12"
"362","t3p7","NULL","52","8"
"363","t3p8","NULL","52","13"
"364","t4p1","NULL","53","8"
"365","t4p2","NULL","53","13"
"366","t4p3","NULL","53","11"
"367","t4p4","NULL","53","10"
"368","t4p5","NULL","53","9"
"369","t4p6","NULL","53","12"
"370","t4p7","NULL","53","8"
"371","t4p8","NULL","53","13"
"372","t5p1","NULL","54","8"
"373","t5p2","NULL","54","13"
"374","t5p3","NULL","54","11"
"375","t5p4","NULL","54","10"
"376","t5p5","NULL","54","9"
"377","t5p6","NULL","54","12"
"378","t5p7","NULL","54","8"
"379","t5p8","NULL","54","13"
"380","t6p1","NULL","55","8"
"381","t6p2","NULL","55","13"
"382","t6p3","NULL","55","11"
"383","t6p4","NULL","55","10"
"384","t6p5","NULL","55","9"
"385","t6p6","NULL","55","12"
"386","t6p7","NULL","55","8"
"387","t6p8","NULL","55","13"
"388","t1p1","NULL","56","70"
"389","t1p2","NULL","56","72"
"390","t1p3","NULL","56","69"
"391","t1p4","NULL","56","74"
"392","t1p5","NULL","56","71"
"393","t1p6","NULL","56","73"
"394","t1p7","NULL","56","71"
"395","t1p8","NULL","56","72"
"396","t2p1","NULL","57","70"
"397","t2p2","NULL","57","72"
"398","t2p3","NULL","57","69"
"399","t2p4","NULL","57","74"
"400","t2p5","NULL","57","71"
"401","t2p6","NULL","57","73"
"402","t2p7","NULL","57","71"
"403","t2p8","NULL","57","72"
"404","t3p1","NULL","58","70"
"405","t3p2","NULL","58","72"
"406","t3p3","NULL","58","69"
"407","t3p4","NULL","58","74"
"408","t3p5","NULL","58","71"
"409","t3p6","NULL","58","73"
"410","t3p7","NULL","58","71"
"411","t3p8","NULL","58","72"
"412","t4p1","NULL","59","70"
"413","t4p2","NULL","59","72"
"414","t4p3","NULL","59","69"
"415","t4p4","NULL","59","74"
"416","t4p5","NULL","59","71"
"417","t4p6","NULL","59","73"
"418","t4p7","NULL","59","71"
"419","t4p8","NULL","59","72"
"420","t5p1","NULL","60","70"
"421","t5p2","NULL","60","72"
"422","t5p3","NULL","60","69"
"423","t5p4","NULL","60","74"
"424","t5p5","NULL","60","71"
"425","t5p6","NULL","60","73"
"426","t5p7","NULL","60","71"
"427","t5p8","NULL","60","72"
"428","t6p1","NULL","61","70"
"429","t6p2","NULL","61","72"
"430","t6p3","NULL","61","69"
"431","t6p4","NULL","61","74"
"432","t6p5","NULL","61","71"
"433","t6p6","NULL","61","73"
"434","t6p7","NULL","61","71"
"435","t6p8","NULL","61","72"
"484","t1p1","NULL","68","107"
"485","t1p2","NULL","68","109"
"486","t1p3","NULL","68","105"
"487","t1p4","NULL","68","108"
"488","t1p5","NULL","68","106"
"489","t1p6","NULL","68","110"
"490","t1p7","NULL","68","107"
"491","t1p8","NULL","68","109"
"492","t2p1","NULL","69","107"
"493","t2p2","NULL","69","108"
"494","t2p3","NULL","69","110"
"495","t2p4","NULL","69","109"
"496","t2p5","NULL","69","106"
"497","t2p6","NULL","69","105"
"498","t2p7","NULL","69","107"
"499","t2p8","NULL","69","108"
"500","t3p1","NULL","70","107"
"501","t3p2","NULL","70","108"
"502","t3p3","NULL","70","110"
"503","t3p4","NULL","70","109"
"504","t3p5","NULL","70","106"
"505","t3p6","NULL","70","105"
"506","t3p7","NULL","70","107"
"507","t3p8","NULL","70","108"
"508","t1p1","NULL","71","118"
"509","t1p2","NULL","71","119"
"510","t1p3","NULL","71","120"
"511","t1p4","NULL","71","117"
"512","t1p5","NULL","71","122"
"513","t1p6","NULL","71","121"
"514","t1p7","NULL","71","120"
"515","t1p8","NULL","71","119"
"516","t1p1","NULL","72","118"
"517","t1p2","NULL","72","120"
"518","t1p3","NULL","72","117"
"519","t1p4","NULL","72","119"
"520","t1p5","NULL","72","121"
"521","t1p6","NULL","72","122"
"522","t1p7","NULL","72","120"
"523","t1p8","NULL","72","120"
"524","t2p1","NULL","73","118"
"525","t2p2","NULL","73","120"
"526","t2p3","NULL","73","117"
"527","t2p4","NULL","73","119"
"528","t2p5","NULL","73","121"
"529","t2p6","NULL","73","122"
"530","t2p7","NULL","73","120"
"531","t2p8","NULL","73","120"
"532","t3p1","NULL","74","118"
"533","t3p2","NULL","74","120"
"534","t3p3","NULL","74","117"
"535","t3p4","NULL","74","119"
"536","t3p5","NULL","74","121"
"537","t3p6","NULL","74","122"
"538","t3p7","NULL","74","120"
"539","t3p8","NULL","74","120"
"540","t4p1","NULL","75","118"
"541","t4p2","NULL","75","120"
"542","t4p3","NULL","75","117"
"543","t4p4","NULL","75","119"
"544","t4p5","NULL","75","121"
"545","t4p6","NULL","75","122"
"546","t4p7","NULL","75","120"
"547","t4p8","NULL","75","120"
"548","t5p1","NULL","76","118"
"549","t5p2","NULL","76","120"
"550","t5p3","NULL","76","117"
"551","t5p4","NULL","76","119"
"552","t5p5","NULL","76","121"
"553","t5p6","NULL","76","122"
"554","t5p7","NULL","76","120"
"555","t5p8","NULL","76","120"
"556","t6p1","NULL","77","118"
"557","t6p2","NULL","77","120"
"558","t6p3","NULL","77","117"
"559","t6p4","NULL","77","119"
"560","t6p5","NULL","77","121"
"561","t6p6","NULL","77","122"
"562","t6p7","NULL","77","120"
"563","t6p8","NULL","77","120"
"564","t7p1","NULL","78","118"
"565","t7p2","NULL","78","120"
"566","t7p3","NULL","78","117"
"567","t7p4","NULL","78","119"
"568","t7p5","NULL","78","121"
"569","t7p6","NULL","78","122"
"570","t7p7","NULL","78","120"
"571","t7p8","NULL","78","120"
"572","t8p1","NULL","79","118"
"573","t8p2","NULL","79","120"
"574","t8p3","NULL","79","117"
"575","t8p4","NULL","79","119"
"576","t8p5","NULL","79","121"
"577","t8p6","NULL","79","122"
"578","t8p7","NULL","79","120"
"579","t8p8","NULL","79","120"
"580","t9p1","NULL","80","118"
"581","t9p2","NULL","80","120"
"582","t9p3","NULL","80","117"
"583","t9p4","NULL","80","119"
"584","t9p5","NULL","80","121"
"585","t9p6","NULL","80","122"
"586","t9p7","NULL","80","120"
"587","t9p8","NULL","80","120"
"588","t10p1","NULL","81","118"
"589","t10p2","NULL","81","120"
"590","t10p3","NULL","81","117"
"591","t10p4","NULL","81","119"
"592","t10p5","NULL","81","121"
"593","t10p6","NULL","81","122"
"594","t10p7","NULL","81","120"
"595","t10p8","NULL","81","120"
"596","t1p1","NULL","84","118"
"597","t1p2","NULL","84","119"
"598","t1p3","NULL","84","120"
"599","t1p4","NULL","84","117"
"600","t1p5","NULL","84","122"
"601","t1p6","NULL","84","121"
"602","t1p7","NULL","84","120"
"603","t1p8","NULL","84","119"
"604","t2p1","NULL","85","118"
"605","t2p2","NULL","85","119"
"606","t2p3","NULL","85","120"
"607","t2p4","NULL","85","117"
"608","t2p5","NULL","85","122"
"609","t2p6","NULL","85","121"
"610","t2p7","NULL","85","120"
"611","t2p8","NULL","85","119"
"612","t3p1","NULL","86","118"
"613","t3p2","NULL","86","119"
"614","t3p3","NULL","86","120"
"615","t3p4","NULL","86","117"
"616","t3p5","NULL","86","122"
"617","t3p6","NULL","86","121"
"618","t3p7","NULL","86","120"
"619","t3p8","NULL","86","119"
