"id","answer","late_answer","playerround_id","question_id"
"12","1","0","124","3"
"13","3","0","124","4"
"14","5","0","121","3"
"15","2","0","121","4"
"16","2","0","125","3"
"17","4","0","125","4"
"18","2","0","127","3"
"19","3","0","127","4"
"20","1","0","129","3"
"21","3","0","129","4"
"22","3","0","131","3"
"23","3","0","131","4"
"24","1","0","152","3"
"25","3","0","152","4"
"26","3","1","134","3"
"27","3","1","134","4"
"28","3","1","137","3"
"29","3","1","137","4"
"30","3","0","158","1"
"31","3","0","158","2"
"32","2","0","159","1"
"33","2","0","159","2"
"34","2","0","161","1"
"35","4","0","161","2"
"36","3","0","162","1"
"37","4","0","162","2"
"38","2","0","165","1"
"39","2","0","165","2"
"40","3","1","172","1"
"41","4","1","172","2"
"42","2","0","173","1"
"43","2","0","173","2"
"58","4","1","133","3"
"59","3","1","133","4"
"60","1","0","206","1"
"61","5","0","206","2"
"62","1","0","199","1"
"63","4","0","199","2"
"64","3","0","207","1"
"65","4","0","207","2"
"66","3","0","209","1"
"67","4","0","209","2"
"68","3","0","205","1"
"69","4","0","205","2"
"70","1","0","208","1"
"71","4","0","208","2"
"72","1","0","202","1"
"73","4","0","202","2"
"74","4","0","203","1"
"75","3","0","203","2"
"76","3","0","200","1"
"77","4","0","200","2"
"78","4","0","201","1"
"79","3","0","201","2"
"80","1","0","204","1"
"81","3","0","204","2"
"82","3","0","211","1"
"83","4","0","211","2"
"84","3","0","212","1"
"85","2","0","212","2"
"86","1","0","214","1"
"87","5","0","214","2"
"88","1","0","213","1"
"89","5","0","213","2"
"90","3","0","217","1"
"91","2","0","217","2"
"92","5","0","215","1"
"93","1","0","215","2"
"94","2","0","216","1"
"95","4","0","216","2"
"96","3","0","222","1"
"97","3","0","222","2"
"98","4","0","221","1"
"99","3","0","221","2"
"100","4","0","223","1"
"101","4","0","223","2"
"102","1","0","219","1"
"103","4","0","219","2"
"104","1","0","218","1"
"105","4","0","218","2"
"106","1","0","220","1"
"107","3","0","220","2"
"108","3","0","232","1"
"109","3","0","232","2"
"110","3","0","231","1"
"111","3","0","231","2"
"112","1","0","233","1"
"113","4","0","233","2"
"114","1","0","230","1"
"115","3","0","230","2"
"116","2","0","235","1"
"117","4","0","235","2"
"118","2","0","234","1"
"119","4","0","234","2"
"120","2","0","225","1"
"121","2","0","225","2"
"122","2","0","226","1"
"123","2","0","226","2"
"124","2","0","224","1"
"125","2","0","224","2"
"126","1","0","227","1"
"127","5","0","227","2"
"128","1","1","229","1"
"129","4","1","229","2"
"130","2","1","228","1"
"131","4","1","228","2"
"132","4","0","240","1"
"133","3","0","240","2"
"134","3","0","236","1"
"135","3","0","236","2"
"136","1","0","237","1"
"137","3","0","237","2"
"138","1","0","241","1"
"139","4","0","241","2"
"140","1","0","238","1"
"141","4","0","238","2"
"142","4","0","239","1"
"143","3","0","239","2"
"144","2","0","242","1"
"145","2","0","242","2"
"146","2","0","246","1"
"147","4","0","246","2"
"148","1","0","243","1"
"149","5","0","243","2"
"150","5","0","244","1"
"151","5","0","244","2"
"152","1","0","245","1"
"153","2","0","245","2"
"154","1","1","247","1"
"155","4","1","247","2"
"168","1","1","284","3"
"169","2","1","284","4"
"170","3","0","291","3"
"171","4","0","291","4"
"172","1","0","290","3"
"173","4","0","290","4"
"174","4","0","292","3"
"175","2","0","292","4"
"176","3","1","289","3"
"177","4","1","289","4"
"178","4","0","293","3"
"179","2","0","293","4"
"180","1","0","295","3"
"181","5","0","295","4"
"182","2","0","294","3"
"183","4","0","294","4"
"184","1","0","296","3"
"185","1","0","296","4"
"186","3","0","300","3"
"187","4","0","300","4"
"188","1","0","298","3"
"189","2","0","298","4"
"190","4","0","297","3"
"191","2","0","297","4"
"192","3","0","299","3"
"193","2","0","299","4"
"194","2","0","303","3"
"195","3","0","303","4"
"196","1","0","302","3"
"197","5","0","302","4"
"198","5","0","301","3"
"199","1","0","301","4"
"200","2","0","304","3"
"201","3","0","304","4"
"210","2","0","372","21"
"211","2","0","372","22"
"212","5","0","373","21"
"213","3","0","373","22"
"214","2","0","374","21"
"215","2","0","374","22"
"216","4","0","370","21"
"217","2","0","370","22"
"218","2","0","371","21"
"219","2","0","371","22"
"220","3","0","369","21"
"221","2","0","369","22"
"222","2","0","367","21"
"223","1","0","367","22"
"224","2","0","360","21"
"225","2","0","360","22"
"226","4","0","361","21"
"227","3","0","361","22"
"228","2","0","365","21"
"229","2","0","365","22"
"230","2","0","355","21"
"231","1","0","355","22"
"232","3","0","364","21"
"233","3","0","364","22"
"234","1","0","363","21"
"235","2","0","363","22"
"236","3","0","397","21"
"237","3","0","397","22"
"238","3","0","386","21"
"239","3","0","386","22"
"240","2","0","385","21"
"241","4","0","385","22"
"242","3","0","395","21"
"243","2","0","395","22"
"244","2","0","398","21"
"245","2","0","398","22"
"246","2","0","394","21"
"247","2","0","394","22"
"248","2","0","399","21"
"249","1","0","399","22"
"250","4","0","400","21"
"251","2","0","400","22"
"252","1","0","403","21"
"253","1","0","403","22"
"254","3","0","404","21"
"255","2","0","404","22"
"256","1","0","388","21"
"257","2","0","388","22"
"258","2","0","402","21"
"259","3","0","402","22"
"260","4","0","401","21"
"261","2","0","401","22"
"262","3","0","409","21"
"263","3","0","409","22"
"264","2","0","411","21"
"265","2","0","411","22"
"266","5","0","408","21"
"267","4","0","408","22"
"268","4","0","412","21"
"269","3","0","412","22"
"270","3","0","407","21"
"271","3","0","407","22"
"272","5","0","410","21"
"273","3","0","410","22"
"274","5","0","406","21"
"275","2","0","406","22"
"276","2","0","391","21"
"277","2","0","391","22"
"278","5","0","389","21"
"279","4","0","389","22"
"282","3","0","396","21"
"283","1","0","396","22"
"284","3","0","390","21"
"285","2","0","390","22"
"290","1","0","393","21"
"291","4","0","393","22"
"292","5","0","392","21"
"293","1","0","392","22"
"300","4","0","414","21"
"301","5","0","414","22"
"302","3","0","415","21"
"303","2","0","415","22"
"304","2","0","419","21"
"305","1","0","419","22"
"306","1","0","413","21"
"307","1","0","413","22"
"308","3","0","417","21"
"309","2","0","417","22"
"310","3","0","416","21"
"311","3","0","416","22"
"312","1","0","418","21"
"313","2","0","418","22"
"314","2","0","421","21"
"315","1","0","421","22"
"316","4","0","424","21"
"317","2","0","424","22"
"318","5","0","420","21"
"319","3","0","420","22"
"320","1","0","423","21"
"321","3","0","423","22"
"322","1","0","422","21"
"323","1","0","422","22"
"324","2","0","425","21"
"325","3","0","425","22"
"326","4","0","429","21"
"327","3","0","429","22"
"328","2","0","428","21"
"329","3","0","428","22"
"330","4","0","431","21"
"331","4","0","431","22"
"332","5","0","430","21"
"333","5","0","430","22"
"334","1","0","426","21"
"335","3","0","426","22"
"336","4","0","427","21"
"337","3","0","427","22"
"338","4","0","437","21"
"339","3","0","437","22"
"340","2","0","436","21"
"341","2","0","436","22"
"342","2","0","438","21"
"343","2","0","438","22"
"344","4","0","434","21"
"345","4","0","434","22"
"346","3","0","435","21"
"347","2","0","435","22"
"348","1","0","454","21"
"349","1","0","454","22"
"350","3","0","457","21"
"351","2","0","457","22"
"352","5","0","458","21"
"353","5","0","458","22"
"354","5","0","455","21"
"355","5","0","455","22"
"356","4","0","456","21"
"357","4","0","456","22"
"358","2","0","453","21"
"359","3","0","453","22"
"360","1","0","432","21"
"361","2","0","432","22"
"362","3","0","433","21"
"363","2","0","433","22"
"364","4","0","464","21"
"365","3","0","464","22"
"366","2","0","463","21"
"367","2","0","463","22"
"368","5","0","461","21"
"369","5","0","461","22"
"370","1","0","460","21"
"371","1","0","460","22"
"372","2","0","462","21"
"373","3","0","462","22"
"374","4","0","459","21"
"375","4","0","459","22"
"376","5","0","447","21"
"377","2","0","447","22"
"378","2","0","452","21"
"379","1","0","452","22"
"380","1","0","448","21"
"381","1","0","448","22"
"382","3","0","449","21"
"383","3","0","449","22"
"384","3","0","440","21"
"385","1","0","440","22"
"386","5","0","445","21"
"387","4","0","445","22"
"388","3","0","444","21"
"389","3","0","444","22"
"390","4","0","442","21"
"391","3","0","442","22"
"392","2","0","441","21"
"393","2","0","441","22"
"394","1","0","443","21"
"395","2","0","443","22"
"396","1","0","450","21"
"397","2","0","450","22"
"398","1","0","439","21"
"399","5","0","439","22"
"400","2","0","446","21"
"401","2","0","446","22"
"402","1","0","451","21"
"403","1","0","451","22"
"404","3","0","477","21"
"405","3","0","477","22"
"406","4","0","482","21"
"407","4","0","482","22"
"408","1","0","481","21"
"409","1","0","481","22"
"410","4","0","480","21"
"411","4","0","480","22"
"412","2","0","483","21"
"413","2","0","483","22"
"414","2","0","478","21"
"415","3","0","478","22"
"416","4","0","475","21"
"417","2","0","475","22"
"418","2","0","479","21"
"419","2","0","479","22"
"420","3","0","471","21"
"421","1","0","471","22"
"422","3","0","474","21"
"423","3","0","474","22"
"424","3","0","473","21"
"425","2","0","473","22"
"426","4","0","472","21"
"427","2","0","472","22"
"428","4","0","476","21"
"429","1","0","476","22"
"430","4","0","489","21"
"431","5","0","489","22"
"432","5","0","487","21"
"433","5","0","487","22"
"434","1","0","486","21"
"435","1","0","486","22"
"436","3","0","484","21"
"437","5","0","484","22"
"438","1","0","485","21"
"439","1","0","485","22"
"440","4","0","488","21"
"441","2","0","488","22"
"442","1","0","491","21"
"443","1","0","491","22"
"444","2","0","490","21"
"445","3","0","490","22"
"446","3","0","495","21"
"447","2","0","495","22"
"448","3","0","492","21"
"449","3","0","492","22"
"450","2","0","493","21"
"451","2","0","493","22"
"452","3","0","496","21"
"453","3","0","496","22"
"454","3","0","499","21"
"455","3","0","499","22"
"456","2","0","502","21"
"457","1","0","502","22"
"458","1","0","494","21"
"459","1","0","494","22"
"460","1","0","498","21"
"461","2","0","498","22"
"462","1","0","497","21"
"463","1","0","497","22"
"464","2","0","503","21"
"465","2","0","503","22"
"466","1","0","500","21"
"467","1","0","500","22"
"468","5","0","501","21"
"469","5","0","501","22"
"470","3","0","512","21"
"471","1","0","512","22"
"472","2","0","516","21"
"473","2","0","516","22"
"474","4","0","515","21"
"475","2","0","515","22"
"476","3","0","511","21"
"477","3","0","511","22"
"478","4","0","514","21"
"479","2","0","514","22"
"480","2","0","513","21"
"481","2","0","513","22"
"482","5","0","507","21"
"483","5","0","507","22"
"484","1","0","505","21"
"485","1","0","505","22"
"486","3","0","508","21"
"487","3","0","508","22"
"488","4","0","510","21"
"489","5","0","510","22"
"490","2","0","504","21"
"491","2","0","504","22"
"492","2","0","506","21"
"493","2","0","506","22"
"494","3","0","517","21"
"495","3","0","517","22"
"496","1","0","519","21"
"497","2","0","519","22"
"498","3","0","521","21"
"499","2","0","521","22"
"500","3","0","522","21"
"501","2","0","522","22"
"502","1","0","520","21"
"503","1","0","520","22"
"504","1","0","523","21"
"505","1","0","523","22"
"506","3","0","518","21"
"507","3","0","518","22"
"509","3","0","509","21"
"510","3","0","509","22"
"511","4","0","528","21"
"512","2","0","528","22"
"513","3","0","527","21"
"514","3","0","527","22"
"515","2","0","526","21"
"516","2","0","526","22"
"517","2","0","529","21"
"518","2","0","529","22"
"519","3","0","525","21"
"520","1","0","525","22"
"521","4","0","524","21"
"522","2","0","524","22"
"537","3","0","553","33"
"538","4","0","553","34"
"539","2","0","554","33"
"540","3","0","554","34"
"541","3","0","566","37"
"542","3","0","566","38"
"543","2","0","571","37"
"544","2","0","571","38"
"545","4","0","570","37"
"546","4","0","570","38"
"547","2","0","568","37"
"548","4","0","568","38"
"549","2","0","567","37"
"550","4","0","567","38"
"551","3","0","572","37"
"552","3","0","572","38"
"553","4","0","576","37"
"554","2","0","576","38"
"555","4","0","573","37"
"556","2","0","573","38"
"557","4","0","574","37"
"558","3","0","574","38"
"559","1","0","575","37"
"560","4","0","575","38"
"561","5","0","577","37"
"562","1","0","577","38"
"563","1","0","578","37"
"564","5","0","578","38"
"565","2","0","633","37"
"566","5","0","633","38"
"567","3","0","635","37"
"568","3","0","635","38"
"569","5","0","640","37"
"570","2","0","640","38"
"571","3","0","636","37"
"572","4","0","636","38"
"573","4","0","639","37"
"574","2","0","639","38"
"575","3","0","638","37"
"576","4","0","638","38"
"577","2","0","634","37"
"578","4","0","634","38"
"579","2","0","637","37"
"580","4","0","637","38"
"581","2","0","629","37"
"582","5","0","629","38"
"583","3","0","631","37"
"584","5","0","631","38"
"585","1","0","625","37"
"586","5","0","625","38"
"587","3","0","630","37"
"588","2","0","630","38"
"589","3","0","627","37"
"590","4","0","627","38"
"591","3","0","632","37"
"592","2","0","632","38"
"593","2","0","626","37"
"594","3","0","626","38"
"595","2","0","628","37"
"596","4","0","628","38"
"597","1","0","650","37"
"598","4","0","650","38"
"599","3","0","654","37"
"600","2","0","654","38"
"610","2","0","655","37"
"611","4","0","655","38"
"613","4","0","653","37"
"614","2","0","653","38"
"615","1","0","652","37"
"616","2","0","652","38"
"618","2","0","649","37"
"619","4","0","649","38"
"621","2","0","651","37"
"622","4","0","651","38"
"623","1","0","647","37"
"624","5","0","647","38"
"625","3","0","641","37"
"626","4","0","641","38"
"627","5","0","645","37"
"628","1","0","645","38"
"629","2","0","642","37"
"630","4","0","642","38"
"631","4","0","648","37"
"632","2","0","648","38"
"633","3","0","644","37"
"634","2","0","644","38"
"635","3","0","646","37"
"636","4","0","646","38"
"637","3","0","656","37"
"638","4","0","656","38"
"639","2","0","657","37"
"640","4","0","657","38"
"641","2","0","662","37"
"642","4","0","662","38"
"643","5","0","661","37"
"644","1","0","661","38"
"645","4","0","660","37"
"646","2","0","660","38"
"647","4","0","658","37"
"648","2","0","658","38"
"649","3","0","659","37"
"650","4","0","659","38"
"651","3","0","663","37"
"652","4","0","663","38"
"655","2","0","668","37"
"656","4","0","668","38"
"657","2","0","664","37"
"658","4","0","664","38"
"659","4","0","665","37"
"660","2","0","665","38"
"661","3","0","667","37"
"662","2","0","667","38"
"663","3","0","669","37"
"664","3","0","669","38"
"665","3","0","670","37"
"666","2","0","670","38"
"667","4","0","666","37"
"668","4","0","666","38"
"669","2","0","671","37"
"670","4","0","671","38"
"671","1","1","643","37"
"672","5","1","643","38"
"673","2","0","677","37"
"674","4","0","677","38"
"675","5","0","678","37"
"676","2","0","678","38"
"677","3","0","673","37"
"678","4","0","673","38"
"679","2","0","679","37"
"680","4","0","679","38"
"681","3","0","675","37"
"682","3","0","675","38"
"683","3","0","676","37"
"684","2","0","676","38"
"685","4","0","672","37"
"686","2","0","672","38"
"687","3","0","680","37"
"688","4","0","680","38"
"689","4","0","684","37"
"690","1","0","684","38"
"692","1","0","683","37"
"693","3","0","683","38"
"696","3","0","702","37"
"697","2","0","702","38"
"698","2","0","674","37"
"699","2","0","674","38"
"700","3","0","681","37"
"701","2","0","681","38"
"702","3","0","685","37"
"703","3","0","685","38"
"705","5","0","682","37"
"706","1","0","682","38"
"707","4","0","707","37"
"708","2","0","707","38"
"709","5","0","703","37"
"710","2","0","703","38"
"711","3","0","708","37"
"712","3","0","708","38"
"713","2","0","709","37"
"714","3","0","709","38"
"715","5","0","710","37"
"716","2","0","710","38"
"717","2","0","705","37"
"718","4","0","705","38"
"719","3","0","704","37"
"720","5","0","704","38"
"721","2","0","706","37"
"722","4","0","706","38"
"723","4","0","700","37"
"724","2","0","700","38"
"725","1","0","699","37"
"726","5","0","699","38"
"727","2","0","697","37"
"728","4","0","697","38"
"729","5","0","693","37"
"730","1","0","693","38"
"731","2","0","694","37"
"732","2","0","694","38"
"733","2","0","695","37"
"734","5","0","695","38"
"735","3","0","698","37"
"736","4","0","698","38"
"737","3","0","696","37"
"738","2","0","696","38"
"739","2","0","716","37"
"740","2","0","716","38"
"741","3","0","712","37"
"742","4","0","712","38"
"743","3","0","718","37"
"744","4","0","718","38"
"745","1","0","714","37"
"746","5","0","714","38"
"747","4","0","711","37"
"748","2","0","711","38"
"749","5","0","717","37"
"750","5","0","717","38"
"751","2","0","713","37"
"752","2","0","713","38"
"753","4","0","715","37"
"754","2","0","715","38"
"755","1","0","691","37"
"756","4","0","691","38"
"757","3","0","688","37"
"758","2","0","688","38"
"759","1","0","687","37"
"760","5","0","687","38"
"761","2","0","701","37"
"762","4","0","701","38"
"763","3","0","689","37"
"764","2","0","689","38"
"765","4","0","686","37"
"766","3","0","686","38"
"767","3","0","690","37"
"768","3","0","690","38"
"769","2","0","723","37"
"770","2","0","723","38"
"771","3","0","724","37"
"772","3","0","724","38"
"773","1","0","720","37"
"774","4","0","720","38"
"775","1","0","721","37"
"776","4","0","721","38"
"777","2","0","725","37"
"778","2","0","725","38"
"779","3","0","722","37"
"780","3","0","722","38"
"781","3","0","719","37"
"782","3","0","719","38"
"783","1","0","726","37"
"784","5","0","726","38"
"785","1","0","730","37"
"786","5","0","730","38"
"787","5","0","733","37"
"788","1","0","733","38"
"789","3","0","728","37"
"790","4","0","728","38"
"791","3","0","727","37"
"792","3","0","727","38"
"793","2","0","731","37"
"794","5","0","731","38"
"795","1","0","729","37"
"796","5","0","729","38"
"797","1","0","732","37"
"798","3","0","732","38"
"799","4","0","735","37"
"800","2","0","735","38"
"801","5","0","739","37"
"802","1","0","739","38"
"803","4","0","737","37"
"804","1","0","737","38"
"805","4","0","736","37"
"806","1","0","736","38"
"807","3","0","738","37"
"808","3","0","738","38"
"809","4","0","734","37"
"810","1","0","734","38"
"811","4","0","740","37"
"812","1","0","740","38"
"813","4","0","741","37"
"814","2","0","741","38"
"815","4","0","774","37"
"816","2","0","774","38"
"817","3","0","779","37"
"818","4","0","779","38"
"819","2","0","773","37"
"820","4","0","773","38"
"821","1","0","775","37"
"822","3","0","775","38"
"823","3","0","776","37"
"824","4","0","776","38"
"825","2","0","778","37"
"826","4","0","778","38"
"827","3","0","777","37"
"828","3","0","777","38"
"829","2","0","786","37"
"830","4","0","786","38"
"831","4","0","787","37"
"832","1","0","787","38"
"833","1","0","782","37"
"834","5","0","782","38"
"835","1","0","781","37"
"836","3","0","781","38"
"837","3","0","783","37"
"838","4","0","783","38"
"839","1","0","785","37"
"840","4","0","785","38"
"841","4","0","784","37"
"842","3","0","784","38"
"843","4","0","780","37"
"844","2","0","780","38"
"845","1","0","794","37"
"846","5","0","794","38"
"847","3","0","798","37"
"848","3","0","798","38"
"849","5","0","796","37"
"850","2","0","796","38"
"851","3","0","804","37"
"852","4","0","804","38"
"853","1","0","793","37"
"854","5","0","793","38"
"855","3","0","795","37"
"856","4","0","795","38"
"857","3","0","797","37"
"858","4","0","797","38"
"859","3","0","810","37"
"860","4","0","810","38"
"861","4","0","802","37"
"862","4","0","802","38"
"863","4","0","791","37"
"864","2","0","791","38"
"865","3","0","799","37"
"866","4","0","799","38"
"867","2","0","790","37"
"868","4","0","790","38"
"869","4","0","801","37"
"870","4","0","801","38"
"871","3","0","792","37"
"872","3","0","792","38"
"873","3","0","789","37"
"874","4","0","789","38"
"877","4","0","800","37"
"878","3","0","800","38"
"879","1","0","828","37"
"880","5","0","828","38"
"881","1","0","829","37"
"882","5","0","829","38"
"883","3","0","827","37"
"884","3","0","827","38"
"885","3","0","830","37"
"886","4","0","830","38"
"887","1","0","833","37"
"888","4","0","833","38"
"889","4","0","831","37"
"890","1","0","831","38"
"891","3","0","832","37"
"892","4","0","832","38"
"893","4","0","813","37"
"894","1","0","813","38"
"895","3","0","814","37"
"896","4","0","814","38"
"897","4","0","817","37"
"898","2","0","817","38"
"899","4","0","826","37"
"900","2","0","826","38"
"901","1","0","815","37"
"902","5","0","815","38"
"903","3","0","820","37"
"904","4","0","820","38"
"905","3","0","818","37"
"906","4","0","818","38"
"907","3","0","816","37"
"908","4","0","816","38"
"909","3","0","819","37"
"910","4","0","819","38"
"911","4","0","834","37"
"912","2","0","834","38"
"913","3","0","823","37"
"914","2","0","823","38"
"915","4","0","825","37"
"916","4","0","825","38"
"917","4","0","824","37"
"918","2","0","824","38"
"919","1","0","821","37"
"920","3","0","821","38"
"921","3","0","822","37"
"922","2","0","822","38"
"923","3","0","835","37"
"924","4","0","835","38"
"925","4","0","850","37"
"926","2","0","850","38"
"927","4","0","838","37"
"928","4","0","838","38"
"929","4","0","840","37"
"930","2","0","840","38"
"931","1","0","852","37"
"932","5","0","852","38"
"933","4","0","856","37"
"934","1","0","856","38"
"935","3","0","855","37"
"936","3","0","855","38"
"937","4","0","841","37"
"938","3","0","841","38"
"939","3","0","839","37"
"940","2","0","839","38"
"941","1","0","854","37"
"942","5","0","854","38"
"943","3","0","853","37"
"944","4","0","853","38"
"945","4","0","857","37"
"946","2","0","857","38"
"947","1","0","859","37"
"948","3","0","859","38"
"949","4","0","858","37"
"950","4","0","858","38"
"951","3","0","849","37"
"952","2","0","849","38"
"953","4","0","837","37"
"954","2","0","837","38"
"955","4","0","836","37"
"956","2","0","836","38"
"957","3","0","843","37"
"958","3","0","843","38"
"959","1","0","847","37"
"960","5","0","847","38"
"961","5","0","851","37"
"962","1","0","851","38"
"963","4","0","842","37"
"964","1","0","842","38"
"965","4","0","845","37"
"966","1","0","845","38"
"967","4","0","848","37"
"968","2","0","848","38"
"969","3","0","844","37"
"970","4","0","844","38"
"971","3","0","846","37"
"972","4","0","846","38"
"973","4","0","864","37"
"974","2","0","864","38"
"975","2","0","866","37"
"976","5","0","866","38"
"977","3","0","863","37"
"978","4","0","863","38"
"979","2","0","865","37"
"980","2","0","865","38"
"981","2","0","861","37"
"982","4","0","861","38"
"983","4","0","867","37"
"984","3","0","867","38"
"985","5","0","862","37"
"986","1","0","862","38"
"987","3","0","860","37"
"988","3","0","860","38"
"989","1","0","870","37"
"990","5","0","870","38"
"991","5","0","869","37"
"992","1","0","869","38"
"993","3","0","868","37"
"994","2","0","868","38"
"995","3","0","873","37"
"996","4","0","873","38"
"997","4","0","871","37"
"998","2","0","871","38"
"999","1","0","872","37"
"1000","4","0","872","38"
"1001","3","0","874","37"
"1002","3","0","874","38"
"1003","4","0","895","37"
"1004","2","0","895","38"
"1005","2","0","891","37"
"1006","3","0","891","38"
"1007","2","0","894","37"
"1008","4","0","894","38"
"1009","5","0","892","37"
"1010","2","0","892","38"
"1011","3","0","897","37"
"1012","3","0","897","38"
"1013","3","0","896","37"
"1014","3","0","896","38"
"1015","1","1","893","37"
"1016","2","1","893","38"
"1017","3","1","890","37"
"1018","4","1","890","38"
"1019","3","0","876","37"
"1020","3","0","876","38"
"1021","4","0","877","37"
"1022","2","0","877","38"
"1023","4","0","880","37"
"1024","4","0","880","38"
"1025","3","0","882","37"
"1026","2","0","882","38"
"1027","5","0","879","37"
"1028","1","0","879","38"
"1029","5","0","875","37"
"1030","4","0","875","38"
"1031","2","0","881","37"
"1032","2","0","881","38"
"1033","3","0","878","37"
"1034","3","0","878","38"
"1035","5","0","887","37"
"1036","1","0","887","38"
"1037","5","0","885","37"
"1038","1","0","885","38"
"1039","3","0","889","37"
"1040","4","0","889","38"
"1041","3","0","883","37"
"1042","1","0","883","38"
"1043","3","0","898","37"
"1044","1","0","898","38"
"1045","4","0","888","37"
"1046","3","0","888","38"
"1047","4","0","884","37"
"1048","2","0","884","38"
"1049","1","1","886","37"
"1050","1","1","886","38"
"1054","1","0","923","37"
"1055","5","0","923","38"
"1056","3","0","914","37"
"1057","3","0","914","38"
"1058","5","1","915","37"
"1059","2","1","915","38"
"1060","3","1","913","37"
"1061","4","1","913","38"
"1062","4","1","922","37"
"1063","2","1","922","38"
"1064","3","0","919","37"
"1065","2","0","919","38"
"1066","4","1","916","37"
"1067","4","1","916","38"
"1068","3","0","918","37"
"1069","1","0","918","38"
"1070","3","0","921","37"
"1071","5","0","921","38"
"1072","4","0","920","37"
"1073","2","0","920","38"
"1074","3","0","917","37"
"1075","4","0","917","38"
