PlayerID,Round,Question1,Question2,Membership,GameTactic,Income,LivingCost,MaxMortgage,StartingSavings,IncreaseSatisfaction,PreferredHouseRating,ActualHouseRating,Savings,BeginSatisfaction,EndSatisfaction,Damage,SpendableIncome,PayingDebt,PayingSatisfaction,PayingMeasures,RiverFloodedArea,RiverFloodedHouse,RainFloodedArea,RainFloodedHouse,Address,GreenGarden,AutomaticSteelWalls,Waterpump,Bulkhead,RiseGroundLevel,WaterproofWallsandFloors,Sandbags,Rainbarrel,Scenario,Game,FinalArea,Private_Measure,filter_$,Riverfloodlag,RainFloodlag,GreenGarden_Lead,Automatic_Lead,Waterpump_Lead,Bulkhead_Lead,RiseGround_Lead,Waterproof_Lead,Sandbag_Lead,Rainbarrel_Lead
3,1,2,3,2,3,100,50,170,30,10,6,6,0,5,2,0,18,0,0,12,1,1,2,2,U01,2,1,2,2,2,2,2,2,1,1,0,1,0,2,2,2,2,2,1,2,2,2,2
4,1,1,2,2,4,80,40,130,15,8,5,2,0,5,2,0,9,0,0,6,2,2,1,2,D10,2,2,1,2,2,2,2,2,1,1,0,1,0,1,2,2,2,2,2,2,2,2,2
5,4,3,2,2,2,65,30,110,5,6,4,3,0,4,4,0,0,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2
5,5,2,2,2,2,65,30,110,5,6,4,3,0,4,11,0,0,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,1,1,0,0,1,2,2,2,2,2,2,2,2,2,1
6,1,3,2,1,4,100,50,170,30,10,6,6,0,5,6,0,13,0,0,11,2,2,2,2,N04,2,2,2,2,2,2,2,1,1,1,0,1,0,2,2,2,2,2,1,2,2,2,2
7,1,3,3,2,1,50,20,80,0,4,3,2,0,5,0,0,8,0,0,0,1,1,2,2,U10,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2
9,1,1,4,2,NA,100,50,170,30,10,6,8,0,5,10,0,82,60,0,20,1,1,2,2,D01,1,2,2,2,2,2,2,2,1,2,0,1,0,1,2,2,2,2,2,2,2,2,2
11,1,4,4,3,2,80,40,130,15,8,5,4,0,5,0,0,12,1,0,8,1,1,2,2,U04,2,2,2,1,2,2,2,2,1,2,0,1,0,2,1,2,2,2,2,2,2,1,2
11,3,4,4,3,2,80,40,130,15,8,5,4,0,0,0,0,12,0,0,12,2,2,1,2,U04,2,1,2,2,2,2,2,2,1,2,1,1,0,2,2,2,2,2,2,2,2,2,2
12,1,2,2,1,1,50,20,80,0,4,3,3,0,5,2,0,2,2,0,0,1,1,2,2,N07,2,2,2,2,2,2,2,2,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2
12,2,1,2,1,1,50,20,80,0,4,3,3,0,2,1,1,0,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2
12,3,2,3,1,1,50,20,80,0,4,3,3,0,1,0,0,2,2,0,0,2,2,1,1,N07,2,2,2,2,2,2,2,2,1,2,1,0,0,2,2,2,2,1,2,2,2,2,2
14,1,1,2,3,NA,80,40,130,15,8,5,5,0,5,3,0,12,0,0,11,1,1,2,2,D04,2,2,2,2,2,2,2,1,1,2,0,1,0,1,2,2,2,2,1,2,2,2,2
14,3,1,1,3,NA,80,40,130,15,8,5,5,0,5,6,0,12,2,0,3,2,2,1,2,D04,2,2,2,2,2,2,1,2,1,2,1,1,0,2,2,2,2,2,2,2,2,1,2
15,3,NA,NA,3,NA,65,30,110,5,6,4,5,0,6,5,0,9,0,0,8,2,2,1,2,D05,2,2,2,1,2,2,2,2,1,2,1,1,0,2,2,1,2,2,2,2,2,2,1
19,1,4,2,3,1,80,40,130,15,8,5,4,0,5,3,0,12,0,0,0,2,2,1,1,U04,2,2,2,2,2,2,2,2,2,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,3,2,3,2,50,20,80,0,4,3,9,0,5,4,0,7,0,1,18,2,2,1,2,D10,2,1,1,2,2,2,2,2,2,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2,NA,NA,3,2,50,20,80,0,4,3,9,0,4,NA,0,7,NA,NA,NA,NA,NA,NA,NA,N01,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,0,0,2,1,2,2,2,2,2,2,2,1
29,1,3,2,3,3,80,40,130,15,8,5,6,0,5,5,0,7,0,0,3,2,2,2,2,N04,2,2,2,2,2,2,1,2,2,4,0,1,0,2,2,2,2,2,2,2,2,2,2
32,1,4,5,2,1,50,20,80,0,4,3,2,0,5,2,0,3,0,0,3,2,2,2,2,U10,2,2,2,2,2,2,1,2,2,4,0,1,0,2,2,2,2,2,2,2,2,2,2
32,2,5,5,2,1,50,20,80,0,4,3,2,0,2,2,0,4,0,0,0,2,2,2,2,U10,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,2,2,2,2,2,2
33,1,4,3,3,4,50,20,80,0,4,3,2,0,5,4,0,3,0,0,3,2,2,2,2,U10,2,2,2,2,2,2,1,2,2,5,0,1,0,2,2,2,2,2,2,2,2,2,2
33,2,3,3,3,4,50,20,80,0,4,3,2,0,4,4,0,3,0,0,0,2,2,2,2,U10,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,2,2,1,2,2,2,2,2
33,4,3,3,3,4,50,20,80,0,4,3,2,0,4,8,0,1,0,0,0,2,2,1,2,D08,1,2,2,2,1,2,2,2,2,5,0,1,0,2,2,2,2,2,2,2,2,2,2
34,1,2,2,1,4,80,40,130,15,8,5,2,0,5,1,0,12,0,0,0,2,2,2,2,D10,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,2,2,2,2,2,2,2,2
36,1,3,5,1,2,80,40,130,15,8,5,4,0,5,4,0,7,2.5,0,0,2,2,2,2,U04,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,2,2,2,2,2,2,2,2
36,3,1,3,1,2,80,40,130,15,8,5,6,0,5,4,0,12,0,0,0,2,2,2,2,N05,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,2,2,2,2,2,2,2,2
38,1,1,1,1,1,80,40,130,15,8,5,5,0,5,4,0,12,0,0,6,2,2,2,2,D05,2,2,1,2,2,2,2,2,2,5,0,1,0,2,2,2,2,2,2,2,2,2,2
40,5,2,1,1,4,80,40,130,15,8,5,3,0,0,6,1,56,0,0,55,1,2,1,2,N06,2,2,2,2,1,1,2,2,1,6,0,1,1,1,2,2,2,2,2,2,2,2,2
41,1,1,1,1,2,50,20,80,0,4,3,2,0,5,2,0,3,0,0,0,1,1,2,2,U10,2,2,2,2,2,2,2,2,1,6,0,0,0,1,1,2,2,2,2,2,2,2,2
41,3,1,1,1,2,50,20,80,0,4,3,6,0,5,2,0,2,0,0,0,1,1,2,2,N05,2,2,2,2,2,2,2,2,1,6,0,0,0,2,2,2,2,2,2,2,2,2,2
41,5,NA,NA,1,2,50,20,80,0,4,3,6,0,1,1,0,0,0,0,0,1,1,1,1,N05,2,2,2,2,2,2,2,2,1,6,0,0,1,2,2,1,2,2,2,2,2,2,2
43,1,3,2,1,1,80,40,130,15,8,5,5,0,5,4,0,12,5,0,6,2,2,2,2,D04,2,2,1,2,2,2,2,2,1,6,0,1,0,1,1,1,2,2,2,2,2,2,2
46,5,2,3,1,2,120,65,200,50,13,7,8,0,8,10,0,10,0,0,0,2,2,1,2,D02,2,2,2,2,2,2,2,2,1,7,0,0,1,2,1,2,2,2,2,1,2,2,2
48,1,1,2,3,1,80,40,130,15,8,5,5,0,5,4,0,12,12,0,0,2,2,2,2,D05,2,2,2,2,2,2,2,2,1,7,0,0,0,2,1,2,2,2,2,2,2,2,2
48,2,1,2,3,1,80,40,130,15,8,5,5,0,4,2,0,12,3,0,0,2,2,1,1,D05,2,2,2,2,2,2,2,2,1,7,0,0,0,2,2,2,1,2,2,2,2,2,2
51,1,1,2,1,2,100,50,170,30,10,6,6,0,5,5,0,13,0,0,12,2,2,2,2,N04,2,1,2,2,2,2,2,2,1,7,0,1,0,2,2,2,2,2,2,2,2,2,2
52,1,5,5,3,2,50,20,80,0,4,3,2,0,5,4,0,8,0,0,8,2,2,2,2,U10,2,2,2,1,2,2,2,2,1,7,0,1,0,2,2,2,2,1,2,2,2,2,2
52,2,4,4,3,2,50,20,80,0,4,3,2,0,4,4,0,8,0,0,6,2,2,2,2,U10,2,2,1,2,2,2,2,2,1,7,0,1,0,2,2,2,2,2,2,2,2,2,2
52,3,5,5,3,2,50,20,80,0,4,3,2,0,4,1,0,5,0,0,0,1,1,2,2,U10,2,2,2,2,2,2,2,2,1,7,0,0,0,2,2,1,2,2,2,1,2,2,2
53,3,3,2,1,2,80,40,130,15,8,5,6,0,5,4,0,7,5,0,0,2,2,2,2,N05,2,2,2,2,2,2,2,2,1,7,0,0,0,2,2,2,2,2,2,2,2,2,2
8,3,3,2,2,4,80,40,130,15,8,5,4,1,1,2,0,14.5,0,1,3,2,2,2,2,U04,2,2,2,2,2,2,1,2,1,1,0,1,0,2,1,2,2,2,2,2,2,1,2
14,2,1,2,3,NA,80,40,130,15,8,5,5,1,3,5,1,10,2,0,8,2,2,2,2,D04,2,2,2,1,2,2,2,2,1,2,0,1,0,1,2,2,2,2,2,2,2,1,2
33,5,3,3,3,4,50,20,80,0,4,3,2,1,8,15,0,11,0,2,0,2,2,2,2,D08,2,2,2,2,2,2,2,2,2,5,0,0,1,2,1,2,2,2,2,2,2,2,2
34,3,3,3,1,4,80,40,130,15,8,5,2,1,1,2,0,13,0,1,0,2,2,2,2,D10,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,2,2,2,2,2,2,2,1
43,2,2,2,1,1,80,40,130,15,8,5,2,1,4,3,0,56,10,2,20,2,2,2,2,D09,1,2,2,2,2,2,2,2,1,6,0,1,0,2,2,2,2,2,1,2,2,2,2
44,4,1,2,1,2,65,30,110,5,6,4,3,1,3,3,0,1,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,1,6,0,0,0,1,2,2,2,2,2,2,2,2,2
44,5,1,2,1,2,65,30,110,5,6,4,3,1,3,8,0,1,0,0,0,1,1,1,2,N07,2,2,2,2,2,2,2,2,1,6,0,0,1,2,2,1,2,2,2,2,1,2,2
46,4,2,3,1,2,120,65,200,50,13,7,8,1,8,8,0,11,0,0,11,2,2,1,2,D02,2,2,2,1,2,2,1,2,1,7,0,1,0,2,2,2,2,2,2,2,2,2,2
51,2,1,2,1,2,100,50,170,30,10,6,6,1,5,5,0,14,0,0,0,2,2,2,2,N04,2,2,2,2,2,2,2,2,1,7,0,0,0,2,2,2,2,2,1,2,2,2,2
3,5,2,2,2,3,100,50,170,30,10,6,6,2,5,11,0,20,0,2,0,1,2,2,2,U01,2,2,2,2,2,2,2,2,1,1,0,0,1,1,2,2,2,1,2,2,2,2,2
6,2,3,2,1,4,100,50,170,30,10,6,6,2,6,6,0,15,0,0,8,2,2,1,2,N04,2,2,2,1,2,2,2,2,1,1,0,1,0,2,2,2,2,2,2,2,2,2,2
7,5,4,4,2,1,50,20,80,0,4,3,2,2,0,5,2,2,0,0,0,1,1,2,2,U10,2,2,2,2,2,2,2,2,1,1,0,0,1,1,2,2,2,2,2,2,2,2,1
9,2,3,4,2,NA,100,50,170,30,10,6,8,2,10,9,0,20,10,0,0,2,2,2,2,D01,2,2,2,2,2,2,2,2,1,2,0,0,0,1,2,2,2,2,1,2,2,2,2
9,3,1,4,2,NA,100,50,170,30,10,6,8,2,9,8,1,16,10,0,8,2,2,1,2,D01,2,2,2,1,2,2,2,2,1,2,1,1,0,2,2,1,2,2,2,1,2,2,2
29,4,3,2,3,3,80,40,130,15,8,5,6,2,4,5,0,7,5,0,0,2,2,1,2,N04,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,2,2,2,2,2,2
29,5,3,2,3,3,80,40,130,15,8,5,6,2,5,11,0,8,0,1,0,2,2,2,2,N04,2,2,2,2,2,2,2,2,2,4,0,0,1,2,1,2,2,2,2,2,2,2,1
41,4,1,1,1,2,50,20,80,0,4,3,6,2,2,1,1,0,0,0,0,2,2,2,2,N05,2,2,2,2,2,2,2,2,1,6,0,0,0,1,2,2,2,2,2,2,2,2,2
52,4,2,3,3,2,50,20,80,0,4,3,2,2,1,7,2,18,0,2,0,2,2,1,2,D08,1,2,2,2,1,2,2,2,1,7,0,1,0,1,2,2,2,2,2,2,2,1,2
53,4,2,2,1,2,80,40,130,15,8,5,6,2,4,3,0,4,0,0,0,2,2,1,1,N05,2,2,2,2,2,2,2,2,1,7,0,0,0,2,2,2,2,2,2,2,2,2,2
26,4,3,3,3,2,80,40,130,15,8,5,3,2.5,4,5,0,8.02,0,0,0,2,2,1,2,N07,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,2,2,2,2,2,2
4,2,1,2,2,4,80,40,130,15,8,5,2,3,2,2,0,12,0,0,0,2,2,1,2,D10,2,2,2,2,2,2,2,2,1,1,0,0,0,2,1,2,2,2,2,2,2,2,2
5,3,2,2,2,2,65,30,110,5,6,4,3,3,4,4,0,8,0,0,8,2,2,2,2,N07,2,2,2,1,2,2,2,2,1,1,0,1,0,2,1,2,2,2,2,2,2,2,2
11,2,3,4,3,2,80,40,130,15,8,5,4,3,0,0,3,3,0,0,3,2,2,2,2,U04,2,2,2,2,2,2,1,2,1,2,0,1,0,1,2,2,1,2,2,2,2,2,2
33,3,3,3,3,4,50,20,80,0,4,3,2,3,4,4,0,6,0,0,6,2,2,2,2,U10,2,2,1,2,2,2,2,2,2,5,0,1,0,2,2,1,2,2,2,1,2,2,2
35,5,1,1,2,2,65,30,110,5,6,4,3,3,8,16,0,8,0,1,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,2,5,0,0,1,2,1,2,2,2,2,2,2,2,2
41,2,1,1,1,2,50,20,80,0,4,3,6,3,2,5,1,0,0,0,0,2,2,2,2,N05,2,2,2,2,2,2,2,2,1,6,0,0,0,1,2,2,2,2,2,2,2,2,2
47,3,1,2,1,3,100,50,170,30,10,6,5,3,10,10,0,12,0,0,0,2,2,2,2,D04,2,2,2,2,2,2,2,2,1,7,0,0,0,2,1,2,2,2,2,2,2,2,2
47,5,1,2,1,3,100,50,170,30,10,6,5,3,12,17,0,12,0,1,0,2,2,1,2,D04,2,2,2,2,2,2,2,2,1,7,0,0,1,2,1,2,2,2,2,2,2,2,2
8,4,3,2,2,4,80,40,130,15,8,5,4,3.5,2,1,0,17,0,1,3,1,1,2,2,U04,2,2,2,2,2,2,1,2,1,1,0,1,0,2,2,2,2,2,2,2,2,1,2
3,3,2,2,2,3,100,50,170,30,10,6,6,4,2,2,0,22,0,0,3,2,2,2,2,U01,2,2,2,2,2,2,1,2,1,1,0,1,0,2,1,2,2,2,2,1,2,2,2
7,3,5,5,2,1,50,20,80,0,4,3,2,4,0,0,1,8,0,0,3,2,2,2,2,U10,2,2,2,2,2,2,1,2,1,1,0,1,0,2,1,2,2,2,2,2,2,2,1
29,2,1,2,3,3,80,40,130,15,8,5,6,4,5,4,0,12,0,0,0,2,2,2,2,N04,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,1,2,2,2,2,2,2,2
32,3,5,5,2,1,50,20,80,0,4,3,2,4,2,1,0,9,0,0,0,1,2,2,2,U10,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,2,2,2,2,2,2,1,2
35,4,2,1,2,2,65,30,110,5,6,4,3,4,7,8,0,9,0,1,0,2,2,1,2,N07,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,2,2,2,2,2,2,2,2
40,3,4,4,1,4,80,40,130,15,8,5,4,4,1,0,1,7.5,0,0,3,1,1,2,2,U04,2,2,2,2,2,2,1,2,1,6,0,1,0,1,2,2,2,2,2,2,2,2,2
44,2,1,2,1,2,65,30,110,5,6,4,3,4,4,4,0,9,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,1,6,0,0,0,2,2,2,2,2,1,2,2,2,2
47,2,1,2,1,3,100,50,170,30,10,6,5,4,8,10,0,23,0,2,0,2,2,1,2,D04,2,2,2,2,2,2,2,2,1,7,0,0,0,2,2,2,2,2,2,2,2,2,2
48,4,1,4,3,1,80,40,130,15,8,5,2,4,3,3,0,72,0,0,31,2,2,1,1,U08,1,2,2,2,1,2,2,1,1,7,0,1,0,2,2,2,1,2,1,2,2,2,2
53,5,3,2,1,2,80,40,130,15,8,5,6,4,3,9,1,2,0,0,0,2,2,2,2,N05,2,2,2,2,2,2,2,2,1,7,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
36,2,1,3,1,2,80,40,130,15,8,5,6,4.5,4,5,0,0,0,0,0,2,2,2,2,N05,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,2,2,2,2,2,2,2,2
40,4,4,4,1,4,80,40,130,15,8,5,4,4.5,0,0,1,8,0,1,0,1,1,2,2,U04,2,2,2,2,2,2,2,2,1,6,0,0,0,1,2,2,2,2,2,1,1,2,2
5,1,2,2,2,2,65,30,110,5,6,4,3,5,5,4,0,10,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,1,2,2,2,2,2,2
7,4,4,4,2,1,50,20,80,0,4,3,2,5,0,0,0,13,0,0,12,1,1,2,2,U10,2,2,2,2,2,2,2,1,1,1,0,1,0,2,2,2,2,2,2,2,2,2,2
8,1,3,2,2,4,80,40,130,15,8,5,4,5,5,1,0,18.5,0,0,11,1,1,2,2,U04,2,2,2,2,2,2,2,1,1,1,0,1,0,1,2,2,2,2,1,2,2,2,2
15,1,3,2,3,NA,65,30,110,5,6,4,5,5,5,5,0,14,0,0,3,1,1,2,2,D05,2,2,2,2,2,2,1,2,1,2,0,1,0,2,1,2,2,2,2,2,1,2,2
22,1,1,2,1,4,65,30,110,5,6,4,2,5,5,4,0,18,0,2,0,2,2,1,1,U10,2,2,2,2,2,2,2,2,2,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,2,1,2,4,65,30,110,5,6,4,2,5,5,4,0,17,0,0,11,2,2,2,2,D10,2,2,2,2,2,2,2,1,2,4,0,1,0,NA,NA,2,2,2,2,2,2,2,2
34,4,3,3,1,4,80,40,130,15,8,5,2,5,2,3,0,17,0,0,11,2,2,1,2,D10,2,2,2,2,2,2,2,1,2,5,0,1,0,2,2,2,2,2,2,2,2,2,2
35,1,1,2,2,2,65,30,110,5,6,4,3,5,5,4,0,10,0,0,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,1,2,2,2,2,2,2,2
35,3,1,2,2,2,65,30,110,5,6,4,3,5,6,7,0,15,0,0,11,2,2,2,2,N07,2,2,2,2,2,2,2,1,2,5,0,1,0,2,2,2,2,2,2,2,2,2,2
44,1,1,2,1,2,65,30,110,5,6,4,3,5,5,4,0,10,0,0,6,2,2,2,2,N07,2,2,1,2,2,2,2,2,1,6,0,1,0,1,1,2,2,2,2,2,2,2,2
50,1,2,1,3,4,65,30,110,5,6,4,2,5,5,3,0,17,0,0,12,2,2,2,2,D10,2,1,2,2,2,2,2,2,1,7,0,1,0,2,1,2,2,2,2,2,2,2,2
50,2,2,1,3,4,65,30,110,5,6,4,2,5,3,3,0,12,0,0,0,2,2,1,2,D10,2,2,2,2,2,2,2,2,1,7,0,0,0,2,2,2,2,2,2,2,2,2,2
52,5,2,3,3,2,50,20,80,0,4,3,2,5,7,12,0,7,0,1,3,2,2,1,2,D08,2,2,2,2,2,2,1,2,1,7,0,1,1,2,1,2,2,2,2,2,2,2,2
8,5,2,NA,2,4,80,40,130,15,8,5,4,6,1,6,1,15.5,0,1,3,1,2,2,2,U04,2,2,2,2,2,2,1,2,1,1,0,1,1,1,2,1,2,2,2,2,2,2,2
22,2,NA,NA,1,4,65,30,110,5,6,4,2,6,4,NA,1,15,NA,NA,NA,NA,NA,NA,NA,U10,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,0,0,2,1,1,2,2,2,1,2,2,2
25,2,3,2,2,4,65,30,110,5,6,4,2,6,4,4,0,18.8,0,0,0,2,2,2,2,D10,2,2,2,2,2,2,2,2,2,4,0,0,0,2,2,1,2,2,2,2,2,2,2
34,5,3,3,1,4,80,40,130,15,8,5,2,6,3,12,0,17,0,2,0,2,2,2,2,D10,2,2,2,2,2,2,2,2,2,5,0,0,1,2,1,2,2,2,2,2,2,2,2
38,2,1,1,1,1,80,40,130,15,8,5,5,6,4,3,0,23,0,0,0,2,2,2,2,D05,2,2,2,2,2,2,2,2,2,5,0,0,0,2,2,2,2,2,2,2,2,2,2
6,3,3,3,1,4,100,50,170,30,10,6,6,7,6,6,0,20,0,0,0,2,2,2,2,N04,2,2,2,2,2,2,2,2,1,1,0,0,0,2,1,2,2,2,2,2,2,2,2
27,5,1,1,2,2,100,50,170,30,10,6,5,7,11,18,0,32,0,3,0,2,2,2,2,D05,2,2,2,2,2,2,2,2,2,4,0,0,1,2,1,1,2,2,2,2,2,2,2
25,4,3,2,2,4,65,30,110,5,6,4,2,7.32,5,9,0,49,0,0,11,2,2,1,2,D08,1,2,2,2,1,2,2,1,2,4,0,1,0,2,2,2,2,2,2,2,2,2,2
8,2,3,2,2,4,80,40,130,15,8,5,4,7.5,1,1,4,9,0,0,8,2,2,1,2,U04,2,2,2,1,2,2,2,2,1,1,0,1,0,1,2,2,2,2,2,2,2,1,2
7,2,5,4,2,1,50,20,80,0,4,3,2,8,0,0,3,4,0,0,0,2,2,1,1,U10,2,2,2,2,2,2,2,2,1,1,0,0,0,1,2,2,2,2,2,2,2,1,2
26,5,3,3,3,2,80,40,130,15,8,5,3,8.02,5,10,0,14.52,0,1,0,2,2,2,2,N07,2,2,2,2,2,2,2,2,2,4,0,0,1,2,1,2,2,2,2,1,2,2,2
32,4,5,5,2,1,50,20,80,0,4,3,2,9,1,0,0,14,0,0,3,1,2,1,1,U10,2,2,2,2,2,2,1,2,2,4,0,1,0,1,2,2,2,2,2,2,2,1,1
44,3,1,2,1,2,65,30,110,5,6,4,3,9,4,3,0,9,0,0,8,1,2,2,2,N07,2,2,2,1,2,2,2,2,1,6,0,1,0,2,2,2,2,2,2,2,2,2,2
48,3,1,2,3,1,80,40,130,15,8,5,5,9,2,3,1,16,0,0,12,2,2,2,2,D05,2,1,2,2,2,2,2,2,1,7,0,1,0,2,1,1,2,2,2,1,2,2,1
